
Simplified 简体	Traditional 繁体	Pinyin 拼音	English 英文	Grammar 语法	Notes 注释
工整		gōngzhěng	carefully and neatly done	Adjective 形容词	
怪诞	怪誕	guài dàn	strange / weird	Adjective 形容词	
怪异	怪異	guàiyì	monstrous / strange	Adjective 形容词	
光		guāng	bare / naked	Adjective 形容词	
光大		guāng dà	splendid / magnificent	Adjective 形容词	
光彩		guāngcǎi	luster / splendor / radiance / brilliance	Noun 名词	
广大	廣大	guǎngdà	vast / extensive	Adjective 形容词	
光辉	光輝	guānghuī	radiant / glorious / brilliant / magnificent	Adjective 形容词	
光辉	光輝	guānghuī	radiance / glory / brilliance / magnificence	Noun 名词	
古怪		gǔguài	eccentric / grotesque	Adjective 形容词	
规律	規律	guīlǜ	rule / law of behavior / regular pattern / rhythm / discipline	Noun 名词	
贵重	貴重	guìzhòng	precious / valuable	Adjective 形容词	
古朴	古樸	gǔpǔ	simple and unadorned	Adjective 形容词	
固有		gùyǒu	inherent	Adjective 形容词	
罕		hǎn	rare	Adjective 形容词	
憨		hān	silly / simple-minded / foolish / naive / sturdy / tough / heavy	Adjective 形容词	
含糊		hánhú	vague	Adjective 形容词	
浩		hào	grand / vast	Adjective 形容词	
豪		háo	grand / heroic / despotic / bullying / luxurious / extravagant / bold	Adjective 形容词	
浩浩荡荡	浩浩蕩蕩	hào hào dàng dàng	grandiose / majestic	Adjective 形容词	
浩繁		hàofán	dense / many and dense	Adjective 形容词	
豪放		háofàng	bold and unconstrained / powerful and free	Noun 名词	
豪华	豪華	háohuá	luxurious	Adjective 形容词	
好看		hǎokàn	good-looking	Adjective 形容词	
好胜	好勝	hàoshèng	competitive / aggressive	Adjective 形容词	
合法性		héfǎxìng	legitimacy	Noun 名词	
合格		hégé	qualified / eligible	Adjective 形容词	
亨		hēng	prosperous	Adjective 形容词	
和善		héshàn	good-natured	Adjective 形容词	
合算		hésuàn	worthwhile	Adjective 形容词	
轰轰烈烈	轟轟烈烈	hōng hōng liè liè	strong / vigorous / large-scale	Phrase 词组	
鸿毛	鴻毛	hóng máo	something very light or trivial	Phrase 词组	
宏观	宏觀	hóngguān	macro- / macroscopic / holistic	Adjective 形容词	
宏伟	宏偉	hóngwěi	grand / imposing / magnificent	Adjective 形容词	
厚重		hòuzhòng	thick / heavy / thickset / massive / generous / extravagant / profound / dignified	Adjective 形容词	
糊		hú	muddled / scorched	Adjective 形容词	
坏	壞	huài	bad / spoiled / broken	Adjective 形容词	
涣	渙	huàn	dispersed / expansive	Adjective 形容词	
煌		huáng	brilliant	Adjective 形容词	
荒凉	荒涼	huāngliáng	wild	Adjective 形容词	Usually of a land area
辉	輝	huī	bright / glorious	Adjective 形容词	
恢		huī	great / expansive	Adjective 形容词	
恢		huī	to restore / to recover	Verb 动词	
辉煌	輝煌	huīhuáng	splendid / glorious	Adjective 形容词	
毁容	毀容	huǐróng	to disfigure / to spoil the beauty of	Verb 动词	
混浊	混濁	hùnzhuó	turbid / muddy / dirty	Adjective 形容词	
浑浊	渾濁	húnzhuó	muddy / turbid	Adjective 形容词	
或		huò	maybe / perhaps / might / possibly	Adverb 副词	
活		huó	alive / living	Adjective 形容词	
活		huó	active / lively / vivid	Adjective 形容词	
火力		huǒlì	fire / firepower	Noun 名词	
基		jī	basic / fundamental	Adjective 形容词	
亟		jí	urgent	Adjective 形容词	
佶		jí	strong / robust / exact / correct	Adjective 形容词	
假		jiǎ	fake / false / artificial	Adjective 形容词	
佳		jiā	excellent	Adjective 形容词	
嘉		jiā	excellent	Adjective 形容词	
坚	堅	jiān	strong / solid / firm / unyielding / resolute	Adjective 形容词	
简	簡	jiǎn	simple	Adjective 形容词	
贱	賤	jiàn	inexpensive / lowly	Adjective 形容词	
监	監	jiàn	hard / strong / solid / firm	Adjective 形容词	
简便	簡便	jiǎnbiàn	simple and convenient	Adjective 形容词	
简单	簡單	jiǎndān	simple	Adjective 形容词	
坚定	堅定	jiāndìng	firm / steady / staunch / resolute	Adjective 形容词	
渐渐	漸漸	jiànjiàn	gradually	Adverb 副词	
简洁	簡潔	jiǎnjié	concise / succinct / pithy	Adjective 形容词	
简捷	簡捷	jiǎnjié	concise / succinct / pithy	Adjective 形容词	
简截	簡簡	jiǎnjié	concise / succinct / pithy	Adjective 形容词	
艰巨	艱巨	jiānjù	very difficult	Adjective 形容词	
坚决	堅決	jiānjué	firm / resolute / determined	Adjective 形容词	
艰苦	艱苦	jiānkǔ	difficult / hard / arduous	Adjective 形容词	
坚牢	堅牢	jiānláo	strong / firm	Adjective 形容词	
简练	簡練	jiǎnliàn	terse / succinct	Adjective 形容词	
简陋	簡陋	jiǎnlòu	simple and crude	Adjective 形容词	
简略	簡略	jiǎnlüè	simple / brief	Adjective 形容词	
健美		jiànměi	healthy and beautiful	Adjective 形容词	
简明	簡明	jiǎnmíng	simple and clear / concise	Adjective 形容词	
艰难	艱難	jiānnán	difficult	Adjective 形容词	
